,P0,Ls,DeltaG,DeltaH,DeltaH_0,P0_std,Ls_std,DeltaG_std,DeltaH_std,DeltaH_0_std
Mg1EDTAp1a,0.09725935358960726,1.2285519392724822,-8.931595324351454,-1.9058725116491824,-0.9215509821342368,0.00839536536323512,0.17164578913808715,0.14437781599276914,0.21273546589904427,1.5890196326450438e-06
Mg1EDTAp1b,0.09748816147552891,1.1750223330575642,-8.95084993103536,-1.9595940638802862,-0.8673056198372829,0.0025577584953914295,0.1384489027630367,0.1359086690066646,0.14433539513128885,9.356733747309195e-07
Mg1EDTAp1c,0.09528121083462701,1.1427897284139965,-8.940713420431189,-1.9639990885751935,-0.673333524986719,0.004124593839826232,0.14375365296638418,0.13743050221989694,0.1594218443254755,9.617083207018739e-07
Mg1EDTAp1d,0.11353733702149556,1.0833392693121235,-9.08781616849182,-2.1187142069556524,-1.0111359878762738,0.014489430506651623,0.19322978141406544,0.15474962943960205,0.3021662645293328,3.681832865876088e-06
Mg1EDTAp1e,0.09808749884611552,1.0454556770732852,-9.31602827769641,-2.1911353866495,-1.1723384706748439,0.013368314296528868,0.1962729729231288,0.15732157118792764,0.3276558023866164,3.4839822946057793e-06
Mgp5EDTAp05a,0.061733701871729045,0.5401236235260608,-8.936228948164157,-2.1206897233944586,-0.8773655683413359,0.005941962522932609,0.054314958813994826,0.0589376390741185,0.2002171601831442,1.0949411462943936e-06
Mgp5EDTAp05b,0.05014817409407972,0.512448579300401,-8.790614696749422,-2.1817913581152135,-0.5884461362450315,0.0032318767740857827,0.035944036436755644,0.040013209717746474,0.1304373778989684,6.139144359638361e-07
Mgp5EDTAp05c,0.05177739474251146,0.4902418305839537,-9.009999339810893,-2.204303447075826,-0.6817096970318692,0.0037695811283642807,0.03872465220953624,0.04492175837012509,0.15208646257071273,8.51558014343225e-07
Mgp5EDTAp05e,0.0479744660204742,0.6049789545844546,-8.660789261068775,-2.3940226956289443,-2.4060074781469667,0.013674840663513143,0.17276716501670955,0.1692417067771054,0.6796529193435118,2.1825930850414655e-06
Mgp5EDTAp05f,0.048878921238112695,0.5049912101687094,-9.043712695453806,-2.1351745976095065,-0.8170879792001037,0.005213689587523951,0.05566777659408312,0.06422415738211097,0.22155677744458288,7.38829113864216e-07
Mgp5EDTAp05g,0.04859725052838861,0.5163538999625583,-8.84602250983864,-2.000425975065216,-0.4901369900419983,0.005106955026560718,0.055961274304479065,0.06328211016083041,0.20436118664805134,7.878376521748358e-07
Mgp5EDTAp05h,0.05088618004306333,0.5034590603143789,-9.319075282290878,-1.909004074054229,-0.5880152852213699,0.004683537346725118,0.04857278507916095,0.055885783546041054,0.17005263027875467,1.1908485221379066e-06
Mgp5EDTAp05i,0.05054670308688862,0.5070588117513476,-8.916053491054788,-2.1444512821506585,-0.6237600021128913,0.0031397712348944203,0.03463513323695492,0.038744810191240084,0.12304644264851393,5.589551382042022e-07
Mgp5EDTAp05j,0.05103234618075209,0.4943987536802907,-8.947390286649002,-2.1584678306086635,-0.7114354035640378,0.0033580893300592953,0.035737364138340263,0.04087788510445328,0.1326217990024506,6.733910330964121e-07
