,P0,Ls,DeltaG,DeltaH,DeltaH_0,P0_std,Ls_std,DeltaG_std,DeltaH_std,DeltaH_0_std
Mg1EDTAp1a,0.09725935358960726,1.2285519392724822,-8.931595324351454,-1.9058725116491824,-0.9215509821342368,0.008388849082053335,0.10596552634361209,0.05110156157383036,0.16438611345160972,1.5890196326450438e-06
Mg1EDTAp1b,0.09748816147552891,1.1750223330575642,-8.95084993103536,-1.9595940638802862,-0.8673056198372829,0.0025362882052334212,0.03056983023719409,0.015413700256758088,0.050981586206662405,9.356733747309195e-07
Mg1EDTAp1c,0.09528121083462701,1.1427897284139965,-8.940713420431189,-1.9639990885751935,-0.673333524986719,0.0041113141065590745,0.049310532197712975,0.025564795810942287,0.08474514907992205,9.617083207018739e-07
Mg1EDTAp1d,0.11353733702149556,1.0833392693121235,-9.08781616849182,-2.1187142069556524,-1.0111359878762738,0.014485655861794655,0.13821781458903762,0.07559010289803962,0.27031623566492047,3.681832865876088e-06
Mg1EDTAp1e,0.09808749884611552,1.0454556770732852,-9.31602827769641,-2.1911353866495,-1.1723384706748439,0.013364223002854945,0.14244120100773278,0.08072479548119188,0.29853767045727997,3.4839822946057793e-06
Mgp5EDTAp05a,0.061733701871729045,0.5401236235260608,-8.936228948164157,-2.1206897233944586,-0.8773655683413359,0.005801103123396685,0.05075531328094906,0.05567434215967342,0.19928095319694794,1.0949411462943936e-06
Mgp5EDTAp05b,0.05014817409407972,0.512448579300401,-8.790614696749422,-2.1817913581152135,-0.5884461362450315,0.0029649462570546276,0.030297868417566053,0.03502918821779474,0.12899572329515277,6.139144359638361e-07
Mgp5EDTAp05c,0.05177739474251146,0.4902418305839537,-9.009999339810893,-2.204303447075826,-0.6817096970318692,0.0035433911310589527,0.03354975058075498,0.04054567116654049,0.15085184510821914,8.51558014343225e-07
Mgp5EDTAp05e,0.0479744660204742,0.6049789545844546,-8.660789261068775,-2.3940226956289443,-2.4060074781469667,0.013614225868437019,0.1716813338228483,0.1681331091371032,0.6793777136817483,2.1825930850414655e-06
Mgp5EDTAp05f,0.048878921238112695,0.5049912101687094,-9.043712695453806,-2.1351745976095065,-0.8170879792001037,0.005052567460153579,0.052200463850526055,0.06124319935081354,0.22071110689521214,7.38829113864216e-07
Mgp5EDTAp05g,0.04859725052838861,0.5163538999625583,-8.84602250983864,-2.000425975065216,-0.4901369900419983,0.0049423545469402435,0.052513343990479966,0.06025456448841701,0.2034440504991016,7.878376521748358e-07
Mgp5EDTAp05h,0.05088618004306333,0.5034590603143789,-9.319075282290878,-1.909004074054229,-0.5880152852213699,0.004503487637655518,0.044556733785452565,0.05243288927606682,0.16894935377208212,1.1908485221379066e-06
Mgp5EDTAp05i,0.05054670308688862,0.5070588117513476,-8.916053491054788,-2.1444512821506585,-0.6237600021128913,0.002864269929985223,0.02873289977748415,0.03357301583171447,0.12151713510338925,5.589551382042022e-07
Mgp5EDTAp05j,0.05103234618075209,0.4943987536802907,-8.947390286649002,-2.1584678306086635,-0.7114354035640378,0.003102038486705993,0.03005239209842801,0.03601372746459623,0.13120414873748368,6.733910330964121e-07
