                                             N           N_std          DeltaG      DeltaG_std          DeltaH      DeltaH_std          DeltaS      DeltaS_std              P0          P0_std
Mg1EDTAp1a                        0.7860000000    0.0022000000   -8.9733228248    0.0532922928   -2.3940000000    0.0122000000    0.0220671569    0.0001833671    0.0786000000    0.0002200000
Mg1EDTAp1b                        0.8250000000    0.0020000000   -9.0023795198    0.0492493748   -2.3300000000    0.0098900000    0.0223792706    0.0001684809    0.0825000000    0.0002000000
Mg1EDTAp1c                        0.8280000000    0.0017000000   -9.0156611821    0.0423203502   -2.2530000000    0.0080700000    0.0226820767    0.0001445008    0.0828000000    0.0001700000
Mg1EDTAp1d                        1.0400000000    0.0057000000   -9.0726614499    0.1232686710   -2.3350000000    0.0227000000    0.0225982272    0.0004203970    0.1040000000    0.0005700000
Mg1EDTAp1e                        0.9350000000    0.0058000000   -9.2310577787    0.1521793414   -2.3450000000    0.0265000000    0.0230959510    0.0005180930    0.0935000000    0.0005800000
Mgp5EDTAp05a                      1.1400000000    0.0049000000   -8.9427673077    0.0660150309   -2.3230000000    0.0162000000    0.0222028083    0.0002279849    0.0570000000    0.0002450000
Mgp5EDTAp05b                      0.9700000000    0.0027000000   -8.8142598798    0.0369021739   -2.2390000000    0.0096800000    0.0220535297    0.0001279579    0.0485000000    0.0001350000
Mgp5EDTAp05c                      1.0500000000    0.0048000000   -8.9717533275    0.0691494316   -2.1840000000    0.0161000000    0.0227662362    0.0002381317    0.0525000000    0.0002400000
Mgp5EDTAp05e                      0.7810000000    0.0038000000   -8.8577282600    0.0590579806   -2.8500000000    0.0211000000    0.0201500193    0.0002103440    0.0390500000    0.0001900000
Mgp5EDTAp05f                      0.9590000000    0.0026000000   -9.0831714355    0.0429714325   -2.1460000000    0.0094300000    0.0232673870    0.0001475565    0.0479500000    0.0001300000
Mgp5EDTAp05g                      0.9310000000    0.0036000000   -8.9088047216    0.0524322922   -2.0500000000    0.0123000000    0.0230045438    0.0001806329    0.0465500000    0.0001800000
Mgp5EDTAp05h                      0.9920000000    0.0046000000   -9.1461165874    0.0807933958   -2.0410000000    0.0212000000    0.0238306778    0.0002801560    0.0496000000    0.0002300000
Mgp5EDTAp05i                      0.9860000000    0.0016000000   -8.9670197345    0.0237627635   -2.1600000000    0.0056900000    0.0228308561    0.0000819537    0.0493000000    0.0000800000
Mgp5EDTAp05j                      1.0200000000    0.0030000000   -8.9606488677    0.0448366953   -2.1320000000    0.0101000000    0.0229034005    0.0001541512    0.0510000000    0.0001500000
