,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
0_sim,-9.351747738524368,-5.142904509153599,2.4347285745663134e-06,0.0001562069700876204,0.0023422682535360097,8.66492216415565e-07
1_sim,-7.6047988368393975,-4.327244778334775,-4.585759304681981e-06,0.5075860508383979,0.6695816498436042,3.980815860168093e-06
2_sim,-9.368401962368136,-4.794431425982363,-5.80448513744671e-07,0.2558852679564848,0.12928042094411418,9.841191749070102e-07
3_sim,-8.85777527426184,-5.375096150860664,2.9318007315226505e-06,0.3791681479300208,0.2836951065247169,1.942270060120871e-06
4_sim,-8.328189334828503,-5.2156180574608,4.747650323329002e-06,0.3457573553217213,0.35450688609378933,2.428512466921257e-06
5_sim,-6.746459084623789,-8.649009136845422,1.8695305834237773e-05,0.19980650141856604,0.0009956871399582185,3.1815638564903164e-06
6_sim,-7.811715201083169,-4.80114712728811,-3.1063103229252723e-06,0.27819882671095886,0.5829882828352428,3.7994904516995573e-06
7_sim,-7.990185341036636,-6.192747741412377,6.936327197993077e-06,0.39922856873428253,0.5403952891307545,3.3416906344039833e-06
8_sim,-6.791491224964427,-8.415707567084711,1.7845932348691493e-05,0.4751893321423942,1.806906568755497,7.23162665781344e-06
9_sim,-9.635810137520759,-4.7102922702017365,3.4370437585094383e-07,0.2545477877425999,0.10073358101619377,7.43111278976889e-07
10_sim,-8.466970194074293,-4.336799799763838,-2.2184793156205326e-06,0.40718105472962324,0.3259475149491668,2.2873848906654485e-06
11_sim,-7.56518566565802,-6.479757467262657,9.35118933086657e-06,0.4404595352070392,0.7815938928991368,4.366455244060764e-06
12_sim,-9.329604047069964,-5.038803342126502,1.8764712267796565e-06,0.3761310359650232,0.18044952506841846,1.3570453843963866e-06
13_sim,-9.399867169496662,-5.132047694878288,-6.355936302608305e-07,0.0059550559227903015,0.26198254030370755,1.7449180312097602e-06
14_sim,-8.321571737986918,-5.954801701112939,5.22846375375792e-06,0.40390563618458547,0.43118194198903104,2.9135849054106184e-06
15_sim,-8.578887107803572,-5.4640787664060335,4.2352205175435016e-06,0.38217605260063203,0.31991260102153357,2.191814432119101e-06
16_sim,-8.30412199210452,-4.781033349251776,-3.3750413943635558e-06,0.4667417324396153,0.46831331817400923,3.178000386548503e-06
17_sim,-8.05215222994975,-4.13272332044314,-2.7463079615036736e-06,0.4655635091849704,0.4474730412111262,2.93618264622591e-06
18_sim,-9.993561683318578,-4.714631175308076,1.4615144715286817e-06,0.4692804054078994,0.11434855062965747,8.703227748364254e-07
19_sim,-8.469712940507572,-5.099858254886251,-2.3878963766278043e-06,0.45871292240196565,0.4123934311784496,2.869836729972642e-06
20_sim,-9.64968921557101,-4.714093145278526,7.23029742253848e-07,0.1022347043363927,0.03839337818023312,2.911076891106234e-07
21_sim,-8.289471051601828,-5.153727555064093,-2.768010488913831e-06,0.4389398982319079,0.4741676644449253,3.2226516330319e-06
22_sim,-9.582658294453937,-5.0260661332683245,-4.977286109972323e-07,0.29128526800583737,0.1343489215150544,1.0440402575830686e-06
23_sim,-7.381559837151915,-4.500015966855026,-6.605220421091102e-06,0.5525002592081134,0.8637321938171582,4.79074146114792e-06
24_sim,-10.017676647485885,-5.0870328897469195,8.788267101456577e-07,0.4045936684749301,0.10267846110000621,7.762536914339084e-07
25_sim,-7.416799534574541,-6.2930361957749055,1.022842694349655e-05,0.0004228639666916204,0.4915837489472234,3.405603861550033e-06
26_sim,-9.735375656437514,-5.16706646886989,-6.071790965363344e-08,0.2648849126185211,0.10985430310533542,9.472518660392278e-07
27_sim,-8.63355767346872,-4.873547681100856,-2.011897768677246e-06,0.3846671461596236,0.33112401048781054,2.3576390336496824e-06
28_sim,-10.392716640684556,-4.700369023531349,1.27835681248487e-07,0.3790322895618982,0.06252807390297584,4.869266976440958e-07
29_sim,-9.15832088692396,-5.244014898098709,-1.1945199783295458e-06,0.3845176097935763,0.24362598192670643,1.817030634971792e-06
30_sim,-9.142417153128966,-5.281919175034883,2.833766477803641e-06,0.3354373039366238,0.20071578423415087,1.469583704437646e-06
31_sim,-8.601612692332019,-5.066992527896394,3.674044829888228e-06,0.4039753468866305,0.288169675185787,2.0044355437650674e-06
32_sim,-9.780871044539241,-4.842661050799628,1.0807235561025712e-06,0.2648567333135084,0.08416821691786182,6.254210445764116e-07
33_sim,-8.829439642961049,-4.579352715941947,-1.554651274371345e-06,0.41593333788047077,0.2713071942582971,1.9552679237524426e-06
34_sim,-10.010867988267897,-4.761286772282862,1.1304815637837892e-06,0.006192114343136987,0.006194669835454104,3.696618260805271e-07
35_sim,-8.385651970838335,-4.443104237658277,-1.989818564523514e-06,0.00014475758332069608,0.0005826380338145991,1.7016215511175276e-06
36_sim,-9.68209724381128,-5.062999930297526,1.5013953521223675e-06,0.3891023150860236,0.14281166534334824,1.0463191911935948e-06
37_sim,-7.93939595486156,-5.167786882060805,-4.3491507130486875e-06,0.46114204768684636,0.6255629616315574,3.977458186689546e-06
38_sim,-7.991760870912121,-4.934046766434674,-3.6042284674188897e-06,0.4653570363931163,0.6070160069688456,3.8516278723052774e-06
39_sim,-9.224135296544128,-5.148773878888739,-9.448185425685559e-07,0.35074729676942046,0.21015145224737075,1.5521559546339462e-06
40_sim,-9.887937703320828,-4.677026353362282,6.262050142807468e-07,0.11262061939289085,0.034222549040997315,2.6250943439382537e-07
41_sim,-8.680668438243487,-5.856696746811975,4.245950553412752e-06,0.3581089552255523,0.3162951425181675,2.232507782502484e-06
42_sim,-7.504638053556025,-4.108650266813536,-5.703411444368338e-06,0.537052508583422,0.73755821410586,4.291530508336224e-06
43_sim,-10.153668714652284,-4.865207768508974,8.061674241665729e-07,0.16098136899357451,0.0409166734178113,3.236033790064711e-07
44_sim,-7.249485251906029,-4.432010688017147,-6.868911237855577e-06,0.5584690324630702,1.0306420421653106,5.548524039107706e-06
45_sim,-7.400719148544146,-6.934946440040345,1.1463199767270451e-05,0.45025749937632265,0.9691715499271114,5.036456686941672e-06
46_sim,-9.05323614310886,-4.800333377634388,-1.535877065688286e-06,0.40112789808084076,0.24856238086201177,1.8244754403616563e-06
47_sim,-9.122601713442675,-5.1424276677296294,2.4862212788168234e-06,0.35787210350733945,0.1963782127051926,1.4343566790745896e-06
48_sim,-9.871538479757065,-4.955686809912419,9.081116057835679e-08,0.2631142103717491,0.09632958292225469,7.503412713547e-07
49_sim,-9.73450101172493,-4.768354602279358,1.5619534415103573e-06,0.0069848399232458475,0.10462513715403288,8.396154492905252e-07
50_sim,-9.911283360275803,-4.925237514923911,4.336325224203933e-08,0.19186230322127945,0.06275592731539781,4.847732756997052e-07
51_sim,-6.930544034884151,-4.545270578762551,-1.0636871380031461e-05,0.658396269153292,1.3453294567941694,6.183059178693684e-06
52_sim,-8.137209031489737,-5.3637253195721035,-3.099020618132444e-06,0.4698812527913452,0.5497278956774903,3.58010173314488e-06
53_sim,-9.609241930861685,-4.404557633801056,1.4293103151133043e-06,0.3931311327948569,0.12707052207653488,9.576980288852892e-07
54_sim,-8.21082595782752,-5.337690366877069,-2.3546518994490056e-06,0.44017897629717107,0.4850600836322911,3.26130600033255e-06
55_sim,-10.040605585642213,-5.037880762076563,7.191499400297104e-07,0.11230077684072833,0.027126615218958507,2.0978468073994937e-07
56_sim,-7.580406699486406,-3.725515638898459,-4.802215110375511e-06,0.51448172921449,0.5936623510303283,3.424105783872076e-06
57_sim,-7.473392302964776,-5.910133418891501,9.53788390851423e-06,0.0007955114554635836,0.5869772630327937,4.460321600813638e-06
58_sim,-8.890600689622268,-5.244214641350321,2.8828760960339098e-06,0.3719268236114946,0.2519613946775478,1.801926503827451e-06
59_sim,-8.604659562968418,-5.69902111676678,4.219322939216336e-06,0.3548049346014729,0.3126666635036653,2.1784941416929668e-06
60_sim,-8.682037675861775,-4.812277590063616,-2.4425687079997117e-06,0.42258740734958966,0.33321107654921056,2.362495566568435e-06
61_sim,-9.41356433133386,-5.785928541216791,-5.036439577507408e-07,0.31106834621619567,0.20311400914049332,1.5410124930494134e-06
62_sim,-7.004867016950538,-7.751604301150767,1.5315501269561858e-05,0.4664540494515983,1.3170568778991738,5.585307697053355e-06
63_sim,-7.666051241658479,-5.861168795515502,8.191076078370434e-06,0.4343628122334919,0.6653069609702065,3.811624367423313e-06
64_sim,-8.266359040205563,-4.926612364977225,-2.829640066792735e-06,0.444466664316281,0.4697318340865902,3.2008526766665052e-06
65_sim,-7.6238724765808925,-4.7787078788947195,-5.284377677695722e-06,0.5359634459388841,0.7590442290875713,4.569707771211335e-06
66_sim,-9.609942521384543,-4.510453109323505,-1.1553890061669632e-07,0.23785806628708323,0.0939713334424866,7.26991673985876e-07
67_sim,-9.77622020784014,-5.143071744950078,-5.1703414141770726e-08,0.22971253802136118,0.09088488227088502,7.128648567293513e-07
68_sim,-9.138748482420404,-4.92905095489438,2.105163167223025e-06,0.34556507126158426,0.18577315744969217,1.3482634478300727e-06
69_sim,-8.29248335683312,-5.4988083483357615,5.503639014592704e-06,0.39794351723697363,0.4138700426963289,2.7740639097805325e-06
70_sim,-8.658641742892309,-5.073140346976533,-1.9532190150095705e-06,0.40954366069579606,0.34284874706331997,2.442110296778573e-06
71_sim,-8.242879229082348,-5.077555765613336,-3.1263131522622608e-06,0.46064227539578684,0.5051811329941168,3.4248908460995214e-06
72_sim,-7.657200090163029,-4.56063935105232,-5.315210681886281e-06,0.4945134016395027,0.6974318950979229,4.183144389315918e-06
73_sim,-9.872994566728527,-4.717842025133554,1.1389246305732304e-06,0.17137498455364025,0.09838664841512286,8.086995134014208e-07
74_sim,-8.635550388061073,-5.306847999367687,4.078222009479544e-06,0.0011702605889168708,0.00041283414485072885,1.4333011678598454e-06
75_sim,-9.258265753346919,-4.835737460564112,2.4014094835150543e-06,0.29795399243890186,0.1572707681619204,1.178177004543416e-06
76_sim,-9.416139852966472,-4.46862476603369,-9.582350916976802e-07,0.31764999502230873,0.16353693827831575,1.239148713207825e-06
77_sim,-7.983664844376042,-5.519284430384703,6.160403987983647e-06,0.0005259759237826227,1.964625018130619,6.703951569826643e-06
78_sim,-8.288349918420423,-6.040476730200876,5.862074831694335e-06,0.0002656112075765666,0.34645114867086035,2.6360143939216462e-06
79_sim,-10.188015868126476,-5.159476216513646,1.1370490387752618e-06,0.0005532753878624695,0.051732427536388015,4.792952657824976e-07
80_sim,-8.524743524891782,-4.9831971326473665,-2.4939600622721215e-06,0.42826500684537033,0.37243083757692824,2.6366705042278356e-06
81_sim,-9.463490404580043,-4.9041022913764944,-3.608013801702796e-07,0.22716264642714523,0.1180647018592288,8.959539287427891e-07
82_sim,-9.898637875512822,-5.090334816662853,1.0016802185150423e-06,0.15922295347671844,0.053383063408221625,3.9750947083665367e-07
83_sim,-8.50552838490084,-5.109734916672177,-1.3313593245891617e-06,0.408381904179192,0.3755139644650549,2.6529332905034504e-06
