,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
0_sim,0.09576782293695005,-9.673493215151495,-5.095168966327458,9.635646155797132e-07,0.0003791354579838256,0.13503269355670403,0.05652810327045476,4.368380304799581e-07
1_sim,0.1280451221078513,-9.803976076214242,-4.071779888901202,7.753481695002508e-07,0.00020026386407929675,0.07819095665490346,0.02485763043958183,2.2176594240326535e-07
2_sim,0.11293323207134076,-8.107949543297076,-5.003264720457598,2.6149543661817176e-06,0.003962387083894966,0.3882908904411268,0.39274503619236734,2.9963795211692892e-06
3_sim,0.09309522844233441,-9.527773747253224,-5.2763666005141285,4.2787875806009824e-07,0.00037648729027134554,0.1491561510270642,0.06194521361835598,4.598074684839725e-07
4_sim,0.08985631645649629,-9.90464916297295,-4.811319456644395,-3.4163139731371274e-07,0.0004917337115176955,0.23590505595241745,0.07589546175003818,5.579832497022138e-07
5_sim,0.07333048040305845,-9.99843923449046,-6.094080352961441,5.832471444962946e-07,0.0002406347410627588,0.20753852339072087,0.05891508059663923,3.7967515657532476e-07
6_sim,0.12300825853531167,-9.35827342098266,-4.512314005408447,1.3616813190194594e-06,0.0005165928831151142,0.13224410528079256,0.06204091277067504,5.413956197034054e-07
7_sim,0.08867856136194299,-9.383823176266327,-5.618044395058817,1.8289963634037292e-07,0.0007762632407386028,0.22662767268260156,0.12386699079364645,8.954216018125782e-07
8_sim,0.07332485070341371,-9.977135811411413,-6.0721395277460175,5.497970116579156e-07,0.00016097502313436722,0.1346710397297657,0.039046523855010486,2.515357361849913e-07
9_sim,0.11010288362675838,-8.213646669897278,-4.89857619209492,2.8952991445070605e-06,0.0033742813629655225,0.36470585867796884,0.33686619264273315,2.548858662868008e-06
10_sim,0.12086673259591416,-8.100853896507846,-4.425637195427642,2.003834158525737e-06,0.004053315854819128,0.37682129838498274,0.3496171373638799,2.8059337329019174e-06
11_sim,0.0824700567198809,-10.735988505307724,-4.87367579881614,-7.234789425961597e-06,0.0011965927842698398,2.8063034085667318,0.25577953090285616,1.7786972655400989e-06
12_sim,0.09488898562762846,-9.823770332557947,-4.99328430533565,2.520367135282059e-07,0.00028166440794947584,0.12683661357964093,0.04373355487046938,3.37452611054179e-07
13_sim,0.11002419797932422,-9.163533694065071,-5.06438029224806,1.559455085846809e-06,0.0014464517069191598,0.3437381752107577,0.19078847077043257,1.5379265200415387e-06
14_sim,0.0898900152111234,-9.891035908520287,-5.5702703712796,2.0343073131465603e-07,0.0004389334775435088,0.20916157608932714,0.0784026738664163,5.761436661826682e-07
15_sim,0.09430360626576521,-9.1003869694654,-5.22951446311661,4.1414813955565045e-07,0.0013131963364401448,0.32009120487868614,0.18322130611824583,1.3484132982645435e-06
16_sim,0.116332204706727,-10.053585908359976,-4.609527993334352,-3.5072788869620203e-08,0.0002596661832080603,0.10172136076017238,0.03512995351400139,3.0364111703880265e-07
17_sim,0.11782200566301021,-8.969594034602006,-4.025701912716577,8.916510489901376e-07,0.0010189301313417182,0.19264310930879852,0.09892838785617045,8.259881097374147e-07
18_sim,0.098068658352385,-9.590086583335243,-4.7248414190702634,9.920363136442057e-07,0.0005868438556978508,0.18903502429911054,0.07927989585547784,6.128737538670614e-07
19_sim,0.11580940987938898,-9.316020370591469,-4.978380536358002,1.2026251566079286e-06,0.0008278687861899984,0.20176375158790627,0.10728983908399616,9.040867428788135e-07
20_sim,0.10079733561778607,-9.626984621321869,-4.703549271248102,8.838768020381896e-07,0.00021635486680903566,0.0890440113600223,0.031725260630918066,2.456646136856782e-07
