,P0,Ls,DeltaG,DeltaH,DeltaH_0,P0_std,Ls_std,DeltaG_std,DeltaH_std,DeltaH_0_std
0_sim,0.08334055837339256,0.8803944257339759,-10.034692828321374,-5.797838919852337,7.841439500252811e-07,0.006082939243935992,0.06469830231294164,0.1302070990093492,0.42262967228873805,2.926589516183399e-07
1_sim,0.08798287136190132,0.6877725042336637,-10.132634496210088,-5.908208875263947,6.972052287546084e-07,0.003206866375290594,0.025171323884671245,0.07476892508630968,0.2216148031723058,2.0038853173974966e-07
2_sim,0.11520780554191212,1.1066541783220027,-9.781885473489174,-4.282573931135733,1.845685417333437e-07,0.004808965913442503,0.046184726313499645,0.10158961801910636,0.18432310008300676,2.562388332326565e-07
3_sim,0.10232192040232778,1.1083740121321526,-9.906734449574241,-4.737873508857828,1.6137262023804728e-07,0.006872244089321998,0.0745972387208833,0.15656966605256858,0.30839626496735234,3.081896178355136e-07
4_sim,0.09224166839577215,1.038173525472652,-10.019733791970824,-4.743519451921469,4.101829956028057e-07,0.0049241748353241795,0.05524598264818234,0.15353749294223046,0.2593479853825996,3.898961968030748e-07
5_sim,0.08032467778666422,1.1012200118766495,-10.406772859078076,-5.548478630344431,5.045803841026066e-07,0.006370642838524175,0.08667140013944634,0.23594892797675618,0.4360684774770119,2.8889626832146633e-07
6_sim,0.1372664280637515,1.124500305128484,-9.670202140942841,-3.980944151995936,9.119566351343498e-07,0.006169269689839581,0.05040343012811656,0.12166228854750324,0.18464122438626282,3.564183877728299e-07
7_sim,0.07914339702478747,0.9176640887756334,-9.954012193390913,-6.203684300382049,4.404485650858804e-07,0.06331978174716127,0.7330575139335536,0.48835053727608707,4.948706053160457,2.898093711709559e-07
8_sim,0.07429076296094769,1.00969942604629,-10.113241201365856,-6.020266925092704,6.153010492085718e-07,0.003373239250972337,0.04625069442810855,0.14635583137295088,0.28579773934879826,2.238556319336973e-07
9_sim,0.094736130765665,0.9214929783519377,-10.012414704551352,-5.078956767346833,8.985289509870261e-07,0.002621343700907993,0.024814498528092855,0.11009219530291642,0.13627616036898657,2.274718598020974e-07
10_sim,0.1120488703780944,0.9890160842876912,-9.796184610791913,-4.2469016515718945,1.7716190355847357e-07,0.00492363275870364,0.04375301376167841,0.0960330889982925,0.18726545755874138,2.975839539087703e-07
11_sim,0.108828302840654,1.320307305042193,-9.760561969886403,-4.279910718449723,4.495435954992145e-07,0.10385365227449112,1.2600928611023345,0.6366348349658333,4.049722969384896,2.894675532550441e-07
12_sim,0.09313272836404042,0.9882826439262128,-9.983106549938592,-5.063171913659271,1.6007325221004344e-07,0.004415984583208267,0.04725802667058737,0.12495100022573993,0.23164078873760405,2.6907756363765776e-07
13_sim,0.10828685680940538,1.0255845803091013,-10.100667816797701,-4.9488942150326825,6.074159764904987e-07,0.00528272249866787,0.049803973221454294,0.1548652252656606,0.24738433262485976,3.2954879415218694e-07
14_sim,0.1026474576586365,1.156567575754665,-10.008353707573486,-4.86450119179832,2.684233936626646e-07,0.005419367857717532,0.060782763447091055,0.1472355049338726,0.25657104102579703,3.7469747290143197e-07
15_sim,0.08301892539679129,0.9163116935124487,-10.183062902812617,-5.724633574923251,5.309685795613648e-07,0.004008102452112699,0.0442808978455202,0.11022672174305076,0.26918877115160517,2.0084342340604173e-07
16_sim,0.11383520606146617,0.9779504081938615,-10.095477339034671,-4.732936257488083,8.997711999617739e-08,0.0054118101338956484,0.0467692368041606,0.09919344715246198,0.22245222891575328,2.7415215877584507e-07
17_sim,0.11464760422983794,0.9637595679798086,-9.860020835682421,-4.0844386087915305,4.7443688495572896e-07,0.005287420925814505,0.04402477753863814,0.1425507495681264,0.18859528543928367,3.8974069624204065e-07
18_sim,0.0901277296299145,0.9338703881630421,-10.116763462916275,-5.066337455784339,6.672294160170284e-07,0.0037919997302796053,0.03937116248854341,0.12246088652568149,0.20964315061464311,3.106373598939688e-07
19_sim,0.11308438142640223,0.9965171101450822,-10.016277352693251,-4.956132715145527,4.83891724179243e-07,0.006556645649788059,0.05760864366759967,0.13103835664348235,0.28692199111846045,3.321389838194428e-07
20_sim,0.07605566536194547,0.7541521843517952,-9.850572734953445,-6.245449591698593,9.213440665502158e-07,0.004475922837709281,0.04384710341779833,0.10158385299683764,0.3413304725733083,3.1388925617955877e-07
21_sim,0.11161576703373396,0.9665783715803616,-9.814461617025955,-5.13623825248766,5.613904259465379e-07,0.0033538305556533535,0.030169027553541398,0.10453258330673695,0.17186397407621967,2.9055952226734196e-07
22_sim,0.11098930403047409,1.0706506141465584,-9.910143846191486,-4.665365281839744,3.2718730128949517e-07,0.005722154552389262,0.05590532233785357,0.15162900919298758,0.24417951000525218,3.636162210822108e-07
23_sim,0.12165529874227021,0.9112380574088162,-10.073404667671106,-4.614513888046388,2.846719696902202e-07,0.0031391492220547,0.024063450084200556,0.13017054976085532,0.1489865044305201,4.181942420073425e-07
24_sim,0.09414606660019449,0.9687989209669828,-10.020374413765776,-5.270382759186271,2.0892113637976046e-07,0.004432265850759608,0.04554228202333953,0.09677662418223192,0.25173336278473885,2.7871422534163625e-07
25_sim,0.07098508615691097,0.9152466651339157,-8.06810453891188,-6.998441457938377,5.737025692196667e-06,0.09676634983511502,1.1601161204602402,1.003855569076031,1.0005782971095982,3.7724324644691324e-05
26_sim,0.10467145468044226,1.0187673739243246,-10.303603422534056,-5.023964396825834,4.4173656424424657e-07,0.004667358416563668,0.045562605884392295,0.24890702928928973,0.23468553063865316,2.5197695201082637e-07
27_sim,0.11524667322065028,1.0301574431928806,-9.924784008356367,-4.6040187763352565,4.2251769766584075e-07,0.0049176452469700755,0.04425080584931617,0.1848830231660957,0.1948668529710984,4.0470461055911815e-07
28_sim,0.08942295260678991,0.9091260493575982,-10.214851915271757,-5.1939732417866535,-1.6802646661054304e-07,0.0052823031357877755,0.05386107119237467,0.15979155647510582,0.3078499235843642,3.403910707392948e-07
29_sim,0.10671048738496151,0.9941911509148909,-10.022229099325697,-5.199728815521401,4.833415930140072e-07,0.006571652850890594,0.060551967840440826,0.08772698361558212,0.32955707832808334,2.7006384489226323e-07
30_sim,0.06634413969003239,0.7058249978674038,-10.09923607135103,-7.383213507673199,8.030960423964554e-07,0.002394116256582374,0.025624109463508526,0.14212901487309773,0.2578613519461132,3.2035422458859716e-07
31_sim,0.10018992723665224,1.0980625117959595,-9.86609159091502,-4.442020186552185,4.6113683782880615e-07,0.003613795643692007,0.038945316997810175,0.18999995942490752,0.16260300162379537,3.794625080011991e-07
32_sim,0.09267666064567945,0.9478758658387035,-9.828400542205033,-5.117640776718704,5.456090975158516e-07,0.0034074701968823417,0.03428672278777679,0.11266904744241432,0.20927336298974836,3.356403426800828e-07
33_sim,0.12680993935393303,1.1571671067206604,-9.932317960087014,-3.863927550285042,2.363876329507241e-07,0.004563610484016372,0.04106120769241917,0.14624820200976166,0.1435129258733269,3.1609033677075384e-07
34_sim,0.08468344326077594,0.8627417978103575,-10.03607975322914,-5.5341183517329435,7.284856309564382e-07,0.007699476844408095,0.0786935092483859,0.1310649069189598,0.5131804319010771,3.240119566405871e-07
35_sim,0.0941287781381113,0.8215288773977618,-10.133338774207633,-5.2261175625627985,7.324238706332506e-07,0.005765946091808926,0.04975897046647503,0.11911423760255127,0.30724517399430584,3.149004199471499e-07
36_sim,0.08006823790178264,0.8348705998969748,-10.13292323715456,-6.053905983279125,3.513662662227378e-07,0.0037718300718015316,0.0387473971934154,0.09978020523968834,0.27880575374701616,2.5471153284447616e-07
37_sim,0.1293190868245122,1.0635228975754292,-9.84569522295305,-4.606919759145126,2.9014656086514537e-07,0.009654795127359759,0.0799572230169767,0.150168299323544,0.3478414188154878,3.5660004550162367e-07
38_sim,0.13203474177122274,1.1062303147427441,-9.941524595327706,-4.216532071981837,1.5610307261238404e-07,0.0036389556308090835,0.030488284203821176,0.1447280372128664,0.14175924398583123,4.174416749995845e-07
39_sim,0.11199308522175935,1.0566376817476042,-9.999738723727575,-4.7927142006848396,2.5409083396251014e-07,0.005148767186076278,0.04809191133339,0.1193501937939778,0.23443910651586577,3.177030983793135e-07
40_sim,0.07293916013259576,0.726663664154941,-10.109240074073966,-6.430190897297939,6.939105683529504e-07,0.04083527956217962,0.40718039904117204,0.3553810193407003,3.5868427013370723,2.3459292446369639e-07
41_sim,0.09790911190488669,1.0725997036151949,-10.091871282199248,-5.266708691793672,5.828202465848863e-07,0.005548249040256183,0.061030625349476335,0.12049930766732564,0.30628806875827336,2.0781311092431503e-07
42_sim,0.08653492442834186,0.6500988345855003,-10.140253235845382,-6.031374802842869,9.44449093993822e-07,0.0042968025387865455,0.03199281265093346,0.14802467567319363,0.29430366586631906,4.497950113304628e-07
43_sim,0.0840709031067433,0.8403696882401636,-10.262798774668411,-5.788799610408737,8.152916980761978e-07,0.005875215032284358,0.05920153157815231,0.18977235521140443,0.4182777687940133,3.19081216622634e-07
44_sim,0.14470062533464131,1.0575984684480697,-9.746015872642612,-3.8736123285471473,5.125194121803971e-07,0.003800461790955823,0.027742003671058914,0.1290453805187659,0.10926402808537747,4.223245205781854e-07
45_sim,0.07694884011198641,0.9773515180340944,-8.062316501621316,-7.005853306510322,5.875355463164966e-06,0.08778849623680025,1.0166690194812489,1.0220669620402343,0.9985468383708103,3.4866572549813056e-05
46_sim,0.11617188905774678,1.0719707839576966,-9.933744734053196,-4.414259542250485,2.7266297432095507e-07,0.0037329045705166335,0.03443076470920476,0.0962817883549608,0.13733671469320244,2.6216600927239605e-07
47_sim,0.10116775281818917,1.0774044053701455,-9.810672240960248,-4.710047023272048,4.888243940813213e-07,0.004514181565524037,0.04767030973388357,0.1223907356923571,0.2196853826419927,2.7385500662628264e-07
48_sim,0.12143374979227482,1.1854259385322634,-10.330539849134446,-4.148481884379772,5.400404479086911e-07,0.005044526623143829,0.04936423244926637,0.19307356159469155,0.18407900155966425,2.473207514981531e-07
49_sim,0.09552606331258422,0.991856462965638,-9.909382402817332,-4.814116707400325,6.553796873302903e-07,0.00336708718781254,0.03479242130692499,0.10152582994184946,0.16900549894764336,2.8243017914257876e-07
50_sim,0.09077148498749948,0.8933674116553608,-10.287836287712933,-5.484918141981094,3.369894241469679e-07,0.004970941466073226,0.04888045741277876,0.14080183202092975,0.3060561581229962,2.1143173530146948e-07
51_sim,0.14080267553525896,0.9472130871038406,-9.873454160241415,-4.476764019713335,6.099897710642139e-07,0.006965792752615358,0.046619706010832304,0.11450564782569508,0.21747850102860142,3.486114677602134e-07
52_sim,0.15162372611069752,1.2938013042444205,-9.976916229640205,-3.9262457323399564,3.642682845037271e-07,0.005128407505053802,0.043546752548396454,0.08556952935374512,0.13793630605922494,2.1704089949754646e-07
53_sim,0.0763970155735447,0.7986211565316679,-10.09646192386076,-5.506445411184968,3.796231683725585e-07,0.005434540655854989,0.0570594282255292,0.14726842412958865,0.39711958984127466,4.0436588524450804e-07
54_sim,0.13923180423571285,1.2032232181698335,-9.807109357568718,-4.221039745378165,8.041969543305197e-07,0.0061511528503018,0.05227501882439778,0.11571667392017554,0.19335342194132946,3.586407334298956e-07
55_sim,0.0679912404590852,0.6798478493053423,-10.270879529064409,-7.411278954567109,7.323669846346247e-07,0.0020829516560101203,0.021146639835048615,0.10433020957875706,0.2315352119346442,2.1309209244485803e-07
56_sim,0.1407636589384883,1.0791905367273695,-9.649997275953162,-3.2916319307144137,6.095344049387786e-07,0.006959879774646006,0.054082004226774595,0.14371005334835296,0.1678672681620898,3.742932516555011e-07
57_sim,0.0702373193469991,0.8744485205679764,-8.072648272832094,-6.992997697521186,6.771518653692167e-06,0.11659709841050726,1.3675608084365605,1.0400581405527058,1.004142920277972,4.470235918014584e-05
58_sim,0.10137525584650976,1.0976242969425036,-10.024902720212985,-4.662238490481756,1.5775425206087754e-07,0.004070387352946919,0.04423295955125117,0.15470697798798974,0.18969911215658034,2.641215146992357e-07
59_sim,0.07530924756839844,0.8256527266022233,-9.980339467109323,-6.650202727491432,6.193527016514283e-07,0.004372886587596392,0.04798571463635445,0.10344262769801736,0.3775821982560016,2.3686428039238159e-07
60_sim,0.11206473800247874,1.0026443596494061,-10.373612413296462,-4.668429112988468,-8.336143599220367e-08,0.0047838350548869805,0.04269660176238386,0.17397388457568808,0.20158442682138275,2.6570405273989015e-07
61_sim,0.10028387893133521,0.9537117889974266,-10.099621464567981,-5.998616603104243,7.551649224002423e-07,0.0029945276173915887,0.028178472759229835,0.06826605445776969,0.17990666609090142,2.1326792411750442e-07
62_sim,0.07133507925647062,0.9314038332536879,-9.91696090231496,-6.380590804931612,7.437676385908858e-07,0.0033316966519116517,0.04332549729206737,0.13036177265327714,0.29725399750198983,3.0650700111011924e-07
63_sim,0.0669562563931536,0.8040008366021912,-10.384108232268597,-6.434614000327329,5.271914296368405e-07,0.0034647847752790535,0.04128365322450106,0.13824109350076472,0.3379582538159281,1.833272272266051e-07
64_sim,0.1248323011066361,1.0724351790109845,-10.002002830806841,-4.429072116709246,6.332087717833633e-07,0.0051624475684991416,0.044769731763172484,0.10285535068727476,0.17640659312893633,3.270735621472481e-07
65_sim,0.10151840529273297,0.8038750163452015,-10.399599363891149,-5.54860302014581,-3.5311568255376285e-08,0.006072510618440669,0.04798404713365955,0.16997558409357094,0.32872359054643197,4.1101599091866525e-07
66_sim,0.0863153477448428,0.8393431529180909,-10.093647207077547,-5.33095795700525,3.800107816317518e-07,0.005240863195789782,0.050825473599071906,0.15270882888905532,0.31323502265815517,3.1003014003247726e-07
67_sim,0.09502495198371333,0.9287945282605159,-10.282862813726318,-5.492932328246191,3.6744440445479735e-07,0.004268738139175842,0.041169196639028904,0.14329617979975182,0.24678428536573999,2.471320833641434e-07
68_sim,0.09017149024016724,0.9599944452198031,-9.869471492790405,-5.071092357969101,2.181665765749314e-07,0.004263330709296825,0.04570657739307014,0.11008318726290804,0.24349027400417134,2.4339306882832884e-07
69_sim,0.09264869928041018,1.049616999947454,-10.143117806299932,-4.944759133134916,7.800442685657455e-07,0.005239192640106112,0.05904215116731334,0.11543741406732409,0.2720986860690981,3.0546559683867666e-07
70_sim,0.108329324288787,0.9702143400908975,-10.048715375500615,-5.085408085076062,4.978639251644241e-07,0.005964611317352113,0.05353430945207369,0.1393790258793367,0.2813617589213003,3.127615493577482e-07
71_sim,0.17389130179893647,1.481106516666987,-9.74594632790922,-3.3193423522348064,8.468717006949142e-07,0.0062749489456587655,0.05352774599561725,0.11307206912233018,0.12575138969438052,3.5635141405248675e-07
72_sim,0.12973717629465856,1.014639646530681,-9.899303439976697,-4.251959701132929,4.0302515008372927e-07,0.0044626221000863015,0.0346374678954874,0.11043920222070705,0.1388213248289926,3.3133272674193064e-07
73_sim,0.09488350570212051,0.9828665585463631,-9.988666849220174,-4.812729774957658,3.36514291074223e-07,0.003403377756194971,0.03471890942294305,0.12043837941221455,0.1706616470376575,4.024627238915861e-07
74_sim,0.07301198275560002,0.8033245709220161,-10.592275485848376,-6.347441896610764,5.686196211642208e-07,0.0030857260101205086,0.034356114429659745,0.18603903419124218,0.2717081495997411,2.3898585117928795e-07
75_sim,0.07591495131376431,0.7999039222679254,-9.919638872282443,-5.989124026400914,8.702266085239426e-07,0.0036527290651503794,0.03796362927801221,0.11189309030333347,0.2811420997260878,2.933884202086063e-07
76_sim,0.0952277139665574,0.9048808971636116,-10.14602028424953,-4.882431173672697,2.2312207481624934e-08,0.005478026136262495,0.05189742731299289,0.13223108519339452,0.27823954690910274,3.450799297577661e-07
77_sim,0.10159849856441283,1.1824077357362979,-9.92313008843054,-4.292520494255031,3.017671596863403e-07,0.004598288171850744,0.053265045381297914,0.12467448231885152,0.19679170722249342,3.051452857894634e-07
78_sim,0.10374866371426388,1.1735902674580132,-9.92834839107596,-4.8587403235394655,7.162842224361639e-07,0.06583407035154232,0.7444328446004267,0.3338607632858879,3.0725944485094776,2.8843053329914305e-07
