,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
0_sim,0.09576782293695005,-9.673493215151495,-5.095168966327458,9.635646155797132e-07,0.003611250710495585,0.22503858343740038,0.11039232950972416,4.368380304799581e-07
1_sim,0.1280451221078513,-9.803976076214242,-4.071779888901202,7.753481695002508e-07,0.004626765028141549,1.8810480279530626,0.780955911019349,2.2176594240326535e-07
2_sim,0.11293323207134076,-8.107949543297076,-5.003264720457598,2.6149543661817176e-06,0.003990675439266002,0.5393544926170364,0.4556424055162005,2.9963795211692892e-06
3_sim,0.09309522844233441,-9.527773747253224,-5.2763666005141285,4.2787875806009824e-07,0.0021648690797250736,0.5960610707999597,0.32553751546567583,4.598074684839725e-07
4_sim,0.08985631645649629,-9.90464916297295,-4.811319456644395,-3.4163139731371274e-07,0.0112338213202742,0.2740934402498093,0.10176348748836575,5.579832497022138e-07
5_sim,0.07333048040305845,-9.99843923449046,-6.094080352961441,5.832471444962946e-07,0.007974654616307574,2.2343124236188956,1.3572122007302292,3.7967515657532476e-07
6_sim,0.12300825853531167,-9.35827342098266,-4.512314005408447,1.3616813190194594e-06,0.010185891310178462,1.0559721942024514,0.5089491004712,5.413956197034054e-07
7_sim,0.08867856136194299,-9.383823176266327,-5.618044395058817,1.8289963634037292e-07,0.0011007107009528634,1.4494231238084692,0.8659932639409789,8.954216018125782e-07
8_sim,0.07332485070341371,-9.977135811411413,-6.0721395277460175,5.497970116579156e-07,0.008023353675301211,2.0961368899674624,1.2736834266235761,2.515357361849913e-07
9_sim,0.11010288362675838,-8.213646669897278,-4.89857619209492,2.8952991445070605e-06,0.006475748989826058,0.7024336253298906,0.4915986958566492,2.548858662868008e-06
10_sim,0.12086673259591416,-8.100853896507846,-4.425637195427642,2.003834158525737e-06,0.006336822697108069,1.2907198345779487,0.7596567161048661,2.8059337329019174e-06
11_sim,0.0824700567198809,-10.735988505307724,-4.87367579881614,-7.234789425961597e-06,0.005532734912727367,3.1494613942000673,0.6975646792424371,1.7786972655400989e-06
12_sim,0.09488898562762846,-9.823770332557947,-4.99328430533565,2.520367135282059e-07,0.004838055369731381,0.14629020816162536,0.057317875789018494,3.37452611054179e-07
13_sim,0.11002419797932422,-9.163533694065071,-5.06438029224806,1.559455085846809e-06,0.009061162312966966,0.40154029917074807,0.22261674431784872,1.5379265200415387e-06
14_sim,0.0898900152111234,-9.891035908520287,-5.5702703712796,2.0343073131465603e-07,0.0005199167839851724,1.2297675827542596,0.6869582469384881,5.761436661826682e-07
15_sim,0.09430360626576521,-9.1003869694654,-5.22951446311661,4.1414813955565045e-07,0.004208594800572341,0.6235329474614137,0.35794342996009476,1.3484132982645435e-06
16_sim,0.116332204706727,-10.053585908359976,-4.609527993334352,-3.5072788869620203e-08,0.008938085983756061,0.7642370640856613,0.34905413526484386,3.0364111703880265e-07
17_sim,0.11782200566301021,-8.969594034602006,-4.025701912716577,8.916510489901376e-07,0.006687889545356294,1.8532018445664982,0.8331358245546281,8.259881097374147e-07
18_sim,0.098068658352385,-9.590086583335243,-4.7248414190702634,9.920363136442057e-07,0.008796741368382552,0.5648221806317484,0.27395107654356626,6.128737538670614e-07
19_sim,0.11580940987938898,-9.316020370591469,-4.978380536358002,1.2026251566079286e-06,0.014129859398070856,0.22848703590945374,0.121632777264092,9.040867428788135e-07
20_sim,0.10079733561778607,-9.626984621321869,-4.703549271248102,8.838768020381896e-07,0.006404286394006128,0.6765969611297166,0.32922840490879784,2.456646136856782e-07
21_sim,0.11606363954223702,-9.659270758572362,-4.958465068936929,6.658002768353768e-07,0.015207678268895916,0.21112280098218061,0.10572631727507263,3.751259202728662e-07
22_sim,0.10514913176740658,-9.531829135988676,-4.97469391142126,6.361312642323105e-07,0.004044521035865036,0.1729169136704338,0.07895192809916847,6.214292980186572e-07
23_sim,0.13669434435046365,-9.56683524060544,-4.192915487883017,6.866730251653514e-07,0.014941753208749601,1.6166585971926852,0.707729865390637,1.0069288842382162e-06
24_sim,0.10015180994717301,-9.60398549184845,-5.0671712777043325,3.849494777449063e-07,0.000880210551836225,0.40075100927895413,0.18341739687062447,9.5577453993033e-07
25_sim,0.08081215996771232,-9.783305371958482,-5.279344238090615,4.483388840560916e-07,0.011033989928427591,0.6394249477413201,0.3417344742760038,3.1408614440375124e-07
26_sim,0.10404486573201621,-9.67913795325785,-5.140256371767974,8.198454141061006e-07,0.006186328115121209,0.31818463331623764,0.15832923223608464,5.536170502993041e-07
27_sim,0.11200780982934253,-9.800153735690785,-4.701089361446625,1.9035148828943466e-07,0.007758717609835527,0.47369530820891265,0.21957966573797125,4.330384721264852e-07
28_sim,0.09769335667039344,-9.931185592930174,-4.704339109811726,-4.150740966693339e-07,0.0052103704871377015,0.45224897855354057,0.20942616008920745,4.048723675884818e-07
29_sim,0.10709848142088743,-9.980897426727214,-5.151635141759934,3.389113749413987e-07,0.010669477419523721,0.24071911854840822,0.120393512045218,2.8711773002504726e-07
30_sim,0.0943202458603853,-9.771329443052002,-5.196476282072339,8.087384291030019e-07,0.0025430647733433727,0.35262513898182635,0.1803481147927269,3.510130035092968e-07
31_sim,0.09342120205359977,-9.341271672258568,-4.837084978485508,1.5597147949876715e-07,0.010895732103460648,0.39210204572532387,0.1908032800020054,8.531252178580273e-07
32_sim,0.0986005967204489,-9.564287261445685,-4.8533805169146484,7.152870527203501e-07,0.0061970380353198245,0.4120890107148297,0.20562317831243512,4.609230601582473e-07
33_sim,0.11479992278522932,-8.922193859542164,-4.509139259259056,1.4407169047932336e-06,0.0018750006854153392,0.8548585605673243,0.44265290220974873,1.57320556393753e-06
34_sim,0.10000966322758587,-9.394633909879898,-4.746665320505829,1.0982375787815957e-06,0.006917763532924247,0.5470835305978468,0.27093311695910105,7.434039825702667e-07
35_sim,0.11486776859311561,-9.93716048100917,-4.2865195573345565,7.662038223523416e-07,0.0030726787655992005,1.4637781872043385,0.6305131806110412,3.47962272618588e-07
36_sim,0.09771350859067224,-9.580191003546439,-5.054422698926815,6.914796021042702e-07,0.0019294976974256655,0.27141657057497626,0.13520350701555195,6.20253955707575e-07
37_sim,0.12595216655154526,-9.260422787210755,-4.891149921930884,4.304878396320712e-07,0.02442030375254238,0.34220999201423463,0.18818551642007914,1.4642357836334218e-06
38_sim,0.11931230697768919,-9.805999196872843,-4.586741033447954,-3.313242237299169e-07,0.014965593535784114,0.6088011568235933,0.2803333890839211,4.18447015130198e-07
39_sim,0.10572448318062012,-9.860695123362063,-5.062802703120596,1.9284500709322066e-07,0.007701976320911281,0.186656987646923,0.08985844606769602,3.4202746517773246e-07
40_sim,0.10012219389529405,-9.816433252388322,-4.654282128432532,5.575784061625736e-07,0.006232584001511926,0.662778136118614,0.3112985231279164,2.897232857612127e-07
41_sim,0.09390479869324803,-9.458237764957026,-5.573406220017979,8.834476698274156e-07,0.0019452288568416682,1.178850352696179,0.6878331190872161,9.899664697911009e-07
42_sim,0.1338332341587983,-9.47036396377526,-3.9660820116146063,1.3821106169636766e-06,0.004547971565628438,2.091203692596275,0.8757711149530599,5.761576677508861e-07
43_sim,0.09977848988664968,-10.044098525904833,-4.854102854257459,7.094622004194843e-07,0.0034341262167963075,0.33991448175383787,0.15024685174926075,3.55912915834948e-07
44_sim,0.138147188290169,-9.50004494416623,-4.081960509656149,6.809547560855562e-07,0.016698221965377506,1.7389296366166018,0.7468938926351318,6.24029726335408e-07
45_sim,0.07967237851605222,-9.994285832038397,-5.837255568168002,4.6021769273876485e-07,0.005484200966264301,1.6598924472388443,0.9688898477573935,2.2697289753021158e-07
46_sim,0.10817268873783675,-9.942272385987536,-4.720399507854705,1.738652522471155e-07,0.0032320010815156783,0.5033935581145162,0.23656816695375318,2.748413745166139e-07
47_sim,0.09445926747767054,-9.689345965577804,-5.067119181607076,5.839158571910475e-07,0.005269383388784254,0.1361454477187834,0.055440221303571936,3.4729281590818415e-07
48_sim,0.10264153409743347,-10.103571967423179,-4.889401190525736,4.348025676405938e-07,0.0012626762213350806,0.21034222950699585,0.07168816735930861,3.163403908803365e-07
49_sim,0.09773659076957776,-9.496333946201476,-4.776081624048685,9.675652656958375e-07,0.007651903764625701,0.4425181452176124,0.21948771007407492,5.504677563194246e-07
50_sim,0.10172596349659928,-10.089637825062098,-4.903482478987492,3.917017612591473e-07,0.0001871027675148906,0.19521642075471596,0.07868228649107924,2.225995572479103e-07
51_sim,0.1498326150404587,-9.59266731167273,-4.261857809205763,9.426560417830379e-07,0.03822484541966904,1.477864597937795,0.6563793990139238,5.547071717911429e-07
52_sim,0.1172602825613995,-10.049951355877903,-5.085038395682746,4.189112957722517e-07,0.02260847889070505,0.20009848195339072,0.09744903222165138,2.3451588382391753e-07
53_sim,0.10395327735001432,-8.745749202246046,-4.348130604508005,9.54067502919527e-07,0.01584144919298652,1.1018355106427193,0.5694256889910082,2.1249358720821883e-06
54_sim,0.1159317786583389,-9.817221975070924,-5.082970728007654,8.879954703802004e-07,0.020545680674892437,0.20139604063617322,0.09942974379775082,4.030077494039139e-07
55_sim,0.0997023397868528,-9.880250940516781,-5.0178832166771565,5.589206796585643e-07,0.0003069749948216026,0.11204958536497539,0.04011103097427285,2.6779507296012055e-07
56_sim,0.12831173448113506,-8.53604189524202,-3.6606656476132513,8.930890757332235e-07,0.009815198689719636,2.4813527901294172,1.0705189118059737,1.3926798696231473e-06
57_sim,0.08098995422164122,-10.07207704841445,-5.044300085602434,7.004696989046297e-07,0.014571777942941292,0.1800970985743665,0.06773683494492293,2.687772276947084e-07
58_sim,0.09320840481998736,-9.44860730104784,-5.157050408353267,5.644415466395308e-07,0.004820574213312407,0.2971142729445949,0.15336508772184854,5.120767014192424e-07
59_sim,0.09135503275066995,-9.732720789220346,-5.4974122676886115,6.984305390961054e-07,0.0004440371071660508,0.9535713482057514,0.5368394544436215,2.771840469125467e-07
60_sim,0.1127594432539255,-9.83929880809,-4.679807359298901,1.5208781579001106e-07,0.006877569319331512,0.5411045977589284,0.25015830685853596,4.663048300161588e-07
