#   0               1                       2                           3                           4                   5                   6                   7                       8
# index     Calorimeter     [CBS] (syringe) (mili M)    [CA II] (cell) (mili M)     micro L Test injection   No. of injections   micro L injected     Time interval(s)        Stir speed (rpm)
    0          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    1          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    2          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    3          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    4          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    5          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    6          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    7          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    8          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
    9          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   10          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   11          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   12          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   13          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   14          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   15          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   16          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   17          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   18          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   19          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   20          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   21          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   22          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   23          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   24          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   25          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   26          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   27          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   28          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   29          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   30          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   31          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   32          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   33          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   34          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   35          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   36          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
   37          sim                 1.00000                 0.10000                   0.00000                   24                  12.00000                  300                  410
