#   0               1                       2                           3                           4                   5                   6                   7                       8
# index     Calorimeter     [CBS] (syringe) (mili M)    [CA II] (cell) (mili M)     micro L Test injection   No. of injections   micro L injected     Time interval(s)        Stir speed (rpm)
    0          sim                 1.01861                 0.09625                   0.00000                   24                  12.00000                  300                  410
    1          sim                 0.80830                 0.10361                   0.00000                   24                  12.00000                  300                  410
    2          sim                 0.95383                 0.09958                   0.00000                   24                  12.00000                  300                  410
    3          sim                 1.06057                 0.09771                   0.00000                   24                  12.00000                  300                  410
    4          sim                 0.98591                 0.08751                   0.00000                   24                  12.00000                  300                  410
    5          sim                 1.22250                 0.08913                   0.00000                   24                  12.00000                  300                  410
    6          sim                 0.88805                 0.10827                   0.00000                   24                  12.00000                  300                  410
    7          sim                 1.15256                 0.09912                   0.00000                   24                  12.00000                  300                  410
    8          sim                 1.20966                 0.08906                   0.00000                   24                  12.00000                  300                  410
    9          sim                 0.92691                 0.09498                   0.00000                   24                  12.00000                  300                  410
   10          sim                 0.84761                 0.09597                   0.00000                   24                  12.00000                  300                  410
   11          sim                 1.13316                 0.09345                   0.00000                   24                  12.00000                  300                  410
   12          sim                 1.00742                 0.09491                   0.00000                   24                  12.00000                  300                  410
   13          sim                 1.02265                 0.10813                   0.00000                   24                  12.00000                  300                  410
   14          sim                 1.12252                 0.09969                   0.00000                   24                  12.00000                  300                  410
   15          sim                 1.05880                 0.09576                   0.00000                   24                  12.00000                  300                  410
   16          sim                 0.92466                 0.10768                   0.00000                   24                  12.00000                  300                  410
   17          sim                 0.79451                 0.09439                   0.00000                   24                  12.00000                  300                  410
   18          sim                 0.94450                 0.09105                   0.00000                   24                  12.00000                  300                  410
   19          sim                 0.98849                 0.11218                   0.00000                   24                  12.00000                  300                  410
   20          sim                 0.93033                 0.09365                   0.00000                   24                  12.00000                  300                  410
   21          sim                 0.98060                 0.11310                   0.00000                   24                  12.00000                  300                  410
   22          sim                 1.00357                 0.10381                   0.00000                   24                  12.00000                  300                  410
