,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
0_sim,-9.351747738524368,-5.142904509153599,2.4347285745663134e-06,0.1740360955161273,0.0957381094336359,8.66492216415565e-07
1_sim,-7.6047988368393975,-4.327244778334775,-4.585759304681981e-06,1.5436777127957628,1.0660507923696414,3.980815860168093e-06
2_sim,-9.368401962368136,-4.794431425982363,-5.80448513744671e-07,0.5025608017729016,0.256345839401299,9.841191749070102e-07
3_sim,-8.85777527426184,-5.375096150860664,2.9318007315226505e-06,0.6569758829179368,0.43183151909964795,1.942270060120871e-06
4_sim,-8.328189334828503,-5.2156180574608,4.747650323329002e-06,0.36512711095254585,0.3620436810934153,2.428512466921257e-06
5_sim,-6.746459084623789,-8.649009136845422,1.8695305834237773e-05,1.5143266684842625,1.9244047905324122,3.1815638564903164e-06
6_sim,-7.811715201083169,-4.80114712728811,-3.1063103229252723e-06,0.9177050018724808,0.7929496456425574,3.7994904516995573e-06
7_sim,-7.990185341036636,-6.192747741412377,6.936327197993077e-06,1.2826933435455883,1.0883974911872376,3.3416906344039833e-06
8_sim,-6.791491224964427,-8.415707567084711,1.7845932348691493e-05,1.5011021436371543,2.525499980629356,7.23162665781344e-06
9_sim,-9.635810137520759,-4.7102922702017365,3.4370437585094383e-07,0.7488703589042113,0.3587097857454039,7.43111278976889e-07
10_sim,-8.466970194074293,-4.336799799763838,-2.2184793156205326e-06,1.3530051689997022,0.7368925715116884,2.2873848906654485e-06
11_sim,-7.56518566565802,-6.479757467262657,9.35118933086657e-06,1.0994631939505148,1.164212030554644,4.366455244060764e-06
12_sim,-9.329604047069964,-5.038803342126502,1.8764712267796565e-06,0.38244836056585574,0.184282087352674,1.3570453843963866e-06
13_sim,-9.399867169496662,-5.132047694878288,-6.355936302608305e-07,0.21299025722647938,0.28661261953086414,1.7449180312097602e-06
14_sim,-8.321571737986918,-5.954801701112939,5.22846375375792e-06,1.0966495588379905,0.8474716549954641,2.9135849054106184e-06
15_sim,-8.578887107803572,-5.4640787664060335,4.2352205175435016e-06,0.6328639648078691,0.453398216736277,2.191814432119101e-06
16_sim,-8.30412199210452,-4.781033349251776,-3.3750413943635558e-06,0.780553607081409,0.5908160483881378,3.178000386548503e-06
17_sim,-8.05215222994975,-4.13272332044314,-2.7463079615036736e-06,1.7188869056342306,0.9599111136541788,2.93618264622591e-06
18_sim,-9.993561683318578,-4.714631175308076,1.4615144715286817e-06,0.7265346475447163,0.28555666529601176,8.703227748364254e-07
19_sim,-8.469712940507572,-5.099858254886251,-2.3878963766278043e-06,0.46895750614841886,0.4165500665502847,2.869836729972642e-06
20_sim,-9.64968921557101,-4.714093145278526,7.23029742253848e-07,0.6800227587053401,0.3306673365841529,2.911076891106234e-07
21_sim,-8.289471051601828,-5.153727555064093,-2.768010488913831e-06,0.4674718558130753,0.48459409533296877,3.2226516330319e-06
22_sim,-9.582658294453937,-5.0260661332683245,-4.977286109972323e-07,0.29328729536522546,0.13554182370882478,1.0440402575830686e-06
23_sim,-7.381559837151915,-4.500015966855026,-6.605220421091102e-06,1.3494580410915713,1.1442771116700585,4.79074146114792e-06
24_sim,-10.017676647485885,-5.0870328897469195,8.788267101456577e-07,0.4850679214457776,0.17030791665341313,7.762536914339084e-07
25_sim,-7.416799534574541,-6.2930361957749055,1.022842694349655e-05,0.475787878056497,0.6361028824110585,3.405603861550033e-06
26_sim,-9.735375656437514,-5.16706646886989,-6.071790965363344e-08,0.3783498984954611,0.1806309497564474,9.472518660392278e-07
27_sim,-8.63355767346872,-4.873547681100856,-2.011897768677246e-06,0.5490618191984669,0.3981903575925606,2.3576390336496824e-06
28_sim,-10.392716640684556,-4.700369023531349,1.27835681248487e-07,0.5870910001547114,0.2121957175025854,4.869266976440958e-07
29_sim,-9.15832088692396,-5.244014898098709,-1.1945199783295458e-06,0.4356904639726544,0.27039772524411543,1.817030634971792e-06
30_sim,-9.142417153128966,-5.281919175034883,2.833766477803641e-06,0.45459476736545873,0.2677841700513907,1.469583704437646e-06
31_sim,-8.601612692332019,-5.066992527896394,3.674044829888228e-06,0.48604319984583455,0.3292232730911689,2.0044355437650674e-06
32_sim,-9.780871044539241,-4.842661050799628,1.0807235561025712e-06,0.47683795317238675,0.21360339851147214,6.254210445764116e-07
33_sim,-8.829439642961049,-4.579352715941947,-1.554651274371345e-06,0.8852089887932505,0.48770233490549947,1.9552679237524426e-06
34_sim,-10.010867988267897,-4.761286772282862,1.1304815637837892e-06,0.5337152938257745,0.2538997781381778,3.696618260805271e-07
35_sim,-8.385651970838335,-4.443104237658277,-1.989818564523514e-06,1.2309298613111186,0.6522035312921849,1.7016215511175276e-06
36_sim,-9.68209724381128,-5.062999930297526,1.5013953521223675e-06,0.44142307309053375,0.1796595794601616,1.0463191911935948e-06
37_sim,-7.93939595486156,-5.167786882060805,-4.3491507130486875e-06,0.4828489828483629,0.6324639407834609,3.977458186689546e-06
38_sim,-7.991760870912121,-4.934046766434674,-3.6042284674188897e-06,0.6692267666636744,0.6757487791498089,3.8516278723052774e-06
39_sim,-9.224135296544128,-5.148773878888739,-9.448185425685559e-07,0.37957398925885616,0.2252177779441026,1.5521559546339462e-06
40_sim,-9.887937703320828,-4.677026353362282,6.262050142807468e-07,0.6661480374339446,0.31243449121957195,2.6250943439382537e-07
41_sim,-8.680668438243487,-5.856696746811975,4.245950553412752e-06,1.1106335307335595,0.7766308981170552,2.232507782502484e-06
42_sim,-7.504638053556025,-4.108650266813536,-5.703411444368338e-06,1.737956368884199,1.1674291518353395,4.291530508336224e-06
43_sim,-10.153668714652284,-4.865207768508974,8.061674241665729e-07,0.33987283222092,0.14914853291626123,3.236033790064711e-07
44_sim,-7.249485251906029,-4.432010688017147,-6.868911237855577e-06,1.434267539313091,1.3093945020855813,5.548524039107706e-06
45_sim,-7.400719148544146,-6.934946440040345,1.1463199767270451e-05,1.3076666694126062,1.5042611789919829,5.036456686941672e-06
46_sim,-9.05323614310886,-4.800333377634388,-1.535877065688286e-06,0.602181273583885,0.3442325937077278,1.8244754403616563e-06
47_sim,-9.122601713442675,-5.1424276677296294,2.4862212788168234e-06,0.36237122132343774,0.19898263797375051,1.4343566790745896e-06
48_sim,-9.871538479757065,-4.955686809912419,9.081116057835679e-08,0.2894490160724358,0.11378365259675005,7.503412713547e-07
49_sim,-9.73450101172493,-4.768354602279358,1.5619534415103573e-06,0.4230217389443315,0.23210352570446996,8.396154492905252e-07
50_sim,-9.911283360275803,-4.925237514923911,4.336325224203933e-08,0.24253941460971545,0.09682219842270773,4.847732756997052e-07
51_sim,-6.930544034884151,-4.545270578762551,-1.0636871380031461e-05,1.250682229597545,1.5153387139666572,6.183059178693684e-06
52_sim,-8.137209031489737,-5.3637253195721035,-3.099020618132444e-06,0.49315906297898837,0.5585167659957062,3.58010173314488e-06
53_sim,-9.609241930861685,-4.404557633801056,1.4293103151133043e-06,1.1655788385913313,0.5187601510327992,9.576980288852892e-07
54_sim,-8.21082595782752,-5.337690366877069,-2.3546518994490056e-06,0.4624051248565518,0.4937217025882927,3.26130600033255e-06
55_sim,-10.040605585642213,-5.037880762076563,7.191499400297104e-07,0.1195049552979931,0.03400403554628899,2.0978468073994937e-07
56_sim,-7.580406699486406,-3.725515638898459,-4.802215110375511e-06,2.251002458931359,1.2297902479234115,3.424105783872076e-06
57_sim,-7.473392302964776,-5.910133418891501,9.53788390851423e-06,0.08221116428242116,0.5905665061938329,4.460321600813638e-06
58_sim,-8.890600689622268,-5.244214641350321,2.8828760960339098e-06,0.4405076796031544,0.28787258112368497,1.801926503827451e-06
59_sim,-8.604659562968418,-5.69902111676678,4.219322939216336e-06,0.9101824357311282,0.6371363203294113,2.1784941416929668e-06
60_sim,-8.682037675861775,-4.812277590063616,-2.4425687079997117e-06,0.6192107965489441,0.4170879804900443,2.362495566568435e-06
61_sim,-9.41356433133386,-5.785928541216791,-5.036439577507408e-07,1.331676836573015,0.821364498546228,1.5410124930494134e-06
62_sim,-7.004867016950538,-7.751604301150767,1.5315501269561858e-05,1.3918692151040315,1.959733641713822,5.585307697053355e-06
63_sim,-7.666051241658479,-5.861168795515502,8.191076078370434e-06,0.4967514538257987,0.690355475166132,3.811624367423313e-06
64_sim,-8.266359040205563,-4.926612364977225,-2.829640066792735e-06,0.6135721723665751,0.5331038935419756,3.2008526766665052e-06
65_sim,-7.6238724765808925,-4.7787078788947195,-5.284377677695722e-06,0.9373625773880175,0.8991659406134704,4.569707771211335e-06
66_sim,-9.609942521384543,-4.510453109323505,-1.1553890061669632e-07,1.013237283852279,0.4717308822513079,7.26991673985876e-07
67_sim,-9.77622020784014,-5.143071744950078,-5.1703414141770726e-08,0.3138831664893958,0.14464838385041306,7.128648567293513e-07
68_sim,-9.138748482420404,-4.92905095489438,2.105163167223025e-06,0.3978802032032925,0.21407011254985575,1.3482634478300727e-06
69_sim,-8.29248335683312,-5.4988083483357615,5.503639014592704e-06,0.5169970961194424,0.4681718281015283,2.7740639097805325e-06
