,P0,Ls,DeltaG,DeltaH,DeltaH_0,P0_std,Ls_std,DeltaG_std,DeltaH_std,DeltaH_0_std
0_sim,0.08334055837339256,0.8803944257339759,-10.034692828321374,-5.797838919852337,7.841439500252811e-07,0.006838820679590043,0.06674062012246722,0.22765724297030776,0.4361854781211891,2.926589516183399e-07
1_sim,0.08798287136190132,0.6877725042336637,-10.132634496210088,-5.908208875263947,6.972052287546084e-07,0.0045135486994078294,0.13422727136367185,1.943864523452544,1.1540815090238126,2.0038853173974966e-07
2_sim,0.11520780554191212,1.1066541783220027,-9.781885473489174,-4.282573931135733,1.845685417333437e-07,0.004833247979055822,0.06887415052719993,0.4629144557429793,0.27031601814685613,2.562388332326565e-07
3_sim,0.10232192040232778,1.1083740121321526,-9.906734449574241,-4.737873508857828,1.6137262023804728e-07,0.007260729559625456,0.10035811229165557,0.6201412336331525,0.4212621013983929,3.081896178355136e-07
4_sim,0.09224166839577215,1.038173525472652,-10.019733791970824,-4.743519451921469,4.101829956028057e-07,0.012529189078056448,0.057149742190653836,0.20857853028252674,0.2678216826405702,3.898961968030748e-07
5_sim,0.08032467778666422,1.1012200118766495,-10.406772859078076,-5.548478630344431,5.045803841026066e-07,0.010808355955796317,0.25989891084265737,2.327497450852253,1.309288385023449,2.8889626832146633e-07
6_sim,0.1372664280637515,1.124500305128484,-9.670202140942841,-3.980944151995936,9.119566351343498e-07,0.01291999554893831,0.13560326789412716,1.0893939987305719,0.482401479356176,3.564183877728299e-07
7_sim,0.07914339702478747,0.9176640887756334,-9.954012193390913,-6.203684300382049,4.404485650858804e-07,0.06332361186538302,0.7463062321079825,1.5951751993778371,5.038395484917861,2.898093711709559e-07
8_sim,0.07429076296094769,1.00969942604629,-10.113241201365856,-6.020266925092704,6.153010492085718e-07,0.008799632248205657,0.21668709987717583,2.1253872267480927,1.2941608556427435,2.238556319336973e-07
9_sim,0.094736130765665,0.9214929783519377,-10.012414704551352,-5.078956767346833,8.985289509870261e-07,0.005430344065180488,0.0717777173341629,0.7400421262544586,0.3954442889926514,2.274718598020974e-07
10_sim,0.1120488703780944,0.9890160842876912,-9.796184610791913,-4.2469016515718945,1.7716190355847357e-07,0.00668075798373993,0.15693848293299226,1.4959262448715756,0.6737337896962347,2.975839539087703e-07
11_sim,0.108828302840654,1.320307305042193,-9.760561969886403,-4.279910718449723,4.495435954992145e-07,0.10409799754799445,1.272298675783308,1.447261799561166,4.089627960486682,2.894675532550441e-07
12_sim,0.09313272836404042,0.9882826439262128,-9.983106549938592,-5.063171913659271,1.6007325221004344e-07,0.006478645053551798,0.047823580093500094,0.1452577237843329,0.23466756252518864,2.6907756363765776e-07
13_sim,0.10828685680940538,1.0255845803091013,-10.100667816797701,-4.9488942150326825,6.074159764904987e-07,0.010267067181947713,0.05495493598275749,0.2762672330774174,0.2715947832072144,3.2954879415218694e-07
14_sim,0.1026474576586365,1.156567575754665,-10.008353707573486,-4.86450119179832,2.684233936626646e-07,0.005428701847373814,0.1541888063642868,1.23503131809415,0.6488783652038267,3.7469747290143197e-07
15_sim,0.08301892539679129,0.9163116935124487,-10.183062902812617,-5.724633574923251,5.309685795613648e-07,0.005334351171593265,0.06974065028825813,0.6088254068784722,0.43100794187197833,2.0084342340604173e-07
16_sim,0.11383520606146617,0.9779504081938615,-10.095477339034671,-4.732936257488083,8.997711999617739e-08,0.010282011547673145,0.08726926541808949,0.7670341917133888,0.4202783306732141,2.7415215877584507e-07
17_sim,0.11464760422983794,0.9637595679798086,-9.860020835682421,-4.0844386087915305,4.7443688495572896e-07,0.008326102240719113,0.20287728438026778,2.0311441396781027,0.8602392822594965,3.8974069624204065e-07
